a.                                                                              're                   {1:356}
llllllllllll.                                                                   by                    {90:1,6,8,14,21,35,37,64,66,70,74,76,82,101,101,107,107,117,119,150,175,182,184,186,187,190,192,193,195,195,204,218,224,230,235,235,247,248,301,301,305,322,323,323,323,326,357,385,400,412,418,426,437,440,441,447,455,456,458,461,490,499,504,505,506,507,507,513,531,538,552,555,577,587,614,619,626,629,638,638,640,648,654,655,658,660,666,666,666,682}
mmmmmmmmmmmm.                                                                   c                     {5:11,14,16,235,598}
nnnnnnnnnnnn.                                                                   C.                    {1:234}
oooooooooooo.                                                                   calculated            {1:404}
pppppppppppp.                                                                   calculation           {6:115,218,459,459,482,537}
qqqqqqqqqqqq.                                                                   calculations          {3:104,112,113}
rrrrrrrrrrrr.                                                                   call                  {4:10,138,139,408}
ssssssssssss.                                                                   called                {6:82,120,156,159,196,211}
tttttttttttt.                                                                   Cambridge             {1:159}
uuuuuuuuuuuu.                                                                   can                   {116:3,6,10,21,24,24,28,60,60,66,66,76,108,117,138,139,141,141,150,154,155,155,165,179,181,182,190,194,224,226,230,232,235,238,239,244,249,256,264,281,286,294,295,295,297,299,301,306,310,315,322,323,367,369,396,399,407,413,413,414,417,421,421,421,424,426,429,429,432,439,453,455,456,457,469,476,480,496,500,504,504,508,511,527,527,530,532,551,552,563,566,577,578,589,605,606,611,613,621,621,629,629,632,636,637,658,660,669,678,679,680,680,701,701,706,706}
vvvvvvvvvvvv.                                                                   capable               {2:200,484}
wwwwwwwwwwww.                                                                   capacities            {2:33,213}
xxxxxxxxxxxx.                                                                   capacity              {17:156,211,212,213,214,214,221,243,298,379,380,429,430,447,583,586,587}
yyyyyyyyyyyy.                                                                   card                  {1:530}
zzzzzzzzzzzz.                                                                   cards                 {2:161,531}
aaaaaaaaaaaaa.                                                                  carried               {2:218,219}
bbbbbbbbbbbbb.                                                                  carries               {1:115}
ccccccccccccc.                                                                  carry                 {3:65,101,147}
ddddddddddddd.                                                                  Casabianca            {1:638}
eeeeeeeeeeeee.                                                                  case                  {10:70,80,132,226,266,270,449,514,570,647}
fffffffffffff.                                                                  cause                 {5:16,537,554,621,652}
ggggggggggggg.                                                                  caused                {1:555}
hhhhhhhhhhhhh.                                                                  causes                {1:409}
iiiiiiiiiiiii.                                                                  cell                  {1:79}
jjjjjjjjjjjjj.                                                                  cells                 {1:589}
kkkkkkkkkkkkk.                                                                  cent                  {2:243,684}
lllllllllllll.                                                                  centimetre            {1:195}
mmmmmmmmmmmmm.                                                                  century               {2:246,577}
nnnnnnnnnnnnn.                                                                  certain               {12:168,264,299,306,311,455,482,503,552,554,566,649}
ooooooooooooo.                                                                  certainly             {3:474,509,513}
ppppppppppppp.                                                                  certainty             {1:684}
qqqqqqqqqqqqq.                                                                  challenge             {1:457}
rrrrrrrrrrrrr.                                                                  chance                {2:243,322}
sssssssssssss.                                                                  change                {1:669}
ttttttttttttt.                                                                  changed               {1:673}
uuuuuuuuuuuuu.                                                                  changes               {2:616,670}
vvvvvvvvvvvvv.                                                                  channels              {2:639,641}
wwwwwwwwwwwww.                                                                  character             {2:260,660}
xxxxxxxxxxxxx.                                                                  Charles               {1:159}
yyyyyyyyyyyyy.                                                                  charmed               {1:323}
zzzzzzzzzzzzz.                                                                  charms                {1:60}
aaaaaaaaaaaaaa.                                                                 chemical              {1:167}
bbbbbbbbbbbbbb.                                                                 chemist               {1:34}
cccccccccccccc.                                                                 chess                 {2:48,700}
dddddddddddddd.                                                                 child                 {16:385,600,602,605,606,609,611,615,616,623,632,634,638,644,676,702}
